,Unnamed: 0,2D-A,2D-B,2D-X,3D-A,3D-B,3D-X,2D-A NumberofProtons,2D-A NumberofNeutrons,2D-A NumberofShells,2D-A SpecificHeat,2D-A Density,2D-A Ion Radius,2D-A FirstIonization,2D-A AtomicMass,2D-A MeltingPoint,2D-B NumberofProtons,2D-B NumberofNeutrons,2D-B NumberofShells,2D-B SpecificHeat,2D-B Density,2D-B Ion Radius,2D-B FirstIonization,2D-B AtomicMass,2D-B MeltingPoint,2D-X NumberofProtons,2D-X NumberofNeutrons,2D-X NumberofShells,2D-X SpecificHeat,2D-X Density,2D-X Ion Radius,2D-X FirstIonization,2D-X AtomicMass,2D-X MeltingPoint,3D-A NumberofProtons,3D-A NumberofNeutrons,3D-A NumberofShells,3D-A SpecificHeat,3D-A Density,3D-A Ion Radius,3D-A FirstIonization,3D-A AtomicMass,3D-A MeltingPoint,3D-B NumberofProtons,3D-B NumberofNeutrons,3D-B NumberofShells,3D-B SpecificHeat,3D-B Density,3D-B Ion Radius,3D-B FirstIonization,3D-B AtomicMass,3D-B MeltingPoint,3D-X NumberofProtons,3D-X NumberofNeutrons,3D-X NumberofShells,3D-X SpecificHeat,3D-X Density,3D-X Ion Radius,3D-X FirstIonization,3D-X AtomicMass,3D-X MeltingPoint
52,52,Cs,Ge,I,Rb,Pb,Br,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,53.0,74.0,5.0,0.214,4.93,220.0,10.4513,126.904,386.65,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
53,53,Cs,Ge,I,Rb,Pb,F,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,53.0,74.0,5.0,0.214,4.93,220.0,10.4513,126.904,386.65,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
54,54,Cs,Ge,I,Rb,Sn,Br,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,53.0,74.0,5.0,0.214,4.93,220.0,10.4513,126.904,386.65,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
55,55,Cs,Ge,I,Rb,Sn,F,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,53.0,74.0,5.0,0.214,4.93,220.0,10.4513,126.904,386.65,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
56,56,Cs,Pb,Br,Cs,Ge,Br,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
57,57,Cs,Pb,Br,Cs,Ge,F,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
58,58,Cs,Pb,Br,Cs,Ge,I,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,53.0,74.0,5.0,0.214,4.93,220.0,10.4513,126.904,386.65
59,59,Cs,Pb,Br,Cs,Pb,Br,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
60,60,Cs,Pb,Br,Cs,Pb,Cl,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,17.0,18.0,3.0,0.479,0.00321,181.0,12.9676,35.453,172.31
61,61,Cs,Pb,Br,Cs,Pb,F,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
62,62,Cs,Pb,Br,Cs,Pb,I,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,53.0,74.0,5.0,0.214,4.93,220.0,10.4513,126.904,386.65
63,63,Cs,Pb,Br,Cs,Sn,Br,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
64,64,Cs,Pb,Br,Cs,Sn,Cl,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,17.0,18.0,3.0,0.479,0.00321,181.0,12.9676,35.453,172.31
65,65,Cs,Pb,Br,Cs,Sn,F,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
66,66,Cs,Pb,Br,Cs,Sn,I,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,53.0,74.0,5.0,0.214,4.93,220.0,10.4513,126.904,386.65
67,67,Cs,Pb,Br,K,Pb,Br,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,19.0,20.0,4.0,0.757,0.862,138.0,4.3407,39.098,336.5,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
68,68,Cs,Pb,Br,K,Pb,F,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,19.0,20.0,4.0,0.757,0.862,138.0,4.3407,39.098,336.5,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
69,69,Cs,Pb,Br,K,Pb,I,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,19.0,20.0,4.0,0.757,0.862,138.0,4.3407,39.098,336.5,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,53.0,74.0,5.0,0.214,4.93,220.0,10.4513,126.904,386.65
70,70,Cs,Pb,Br,K,Sn,Br,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,19.0,20.0,4.0,0.757,0.862,138.0,4.3407,39.098,336.5,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
71,71,Cs,Pb,Br,K,Sn,F,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,19.0,20.0,4.0,0.757,0.862,138.0,4.3407,39.098,336.5,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
72,72,Cs,Pb,Br,Li,Pb,Br,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,3.0,4.0,2.0,3.582,0.534,76.0,5.3917,6.941,453.85,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
73,73,Cs,Pb,Br,Li,Pb,F,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,3.0,4.0,2.0,3.582,0.534,76.0,5.3917,6.941,453.85,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
74,74,Cs,Pb,Br,Li,Pb,I,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,3.0,4.0,2.0,3.582,0.534,76.0,5.3917,6.941,453.85,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,53.0,74.0,5.0,0.214,4.93,220.0,10.4513,126.904,386.65
75,75,Cs,Pb,Br,Li,Sn,Br,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,3.0,4.0,2.0,3.582,0.534,76.0,5.3917,6.941,453.85,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
76,76,Cs,Pb,Br,Li,Sn,F,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,3.0,4.0,2.0,3.582,0.534,76.0,5.3917,6.941,453.85,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
77,77,Cs,Pb,Br,Na,Pb,Br,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,11.0,12.0,3.0,1.228,0.971,102.0,5.1391,22.99,371.15,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
78,78,Cs,Pb,Br,Na,Pb,F,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,11.0,12.0,3.0,1.228,0.971,102.0,5.1391,22.99,371.15,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
79,79,Cs,Pb,Br,Na,Pb,I,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,11.0,12.0,3.0,1.228,0.971,102.0,5.1391,22.99,371.15,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,53.0,74.0,5.0,0.214,4.93,220.0,10.4513,126.904,386.65
80,80,Cs,Pb,Br,Na,Sn,Br,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,11.0,12.0,3.0,1.228,0.971,102.0,5.1391,22.99,371.15,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
81,81,Cs,Pb,Br,Na,Sn,F,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,11.0,12.0,3.0,1.228,0.971,102.0,5.1391,22.99,371.15,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
82,82,Cs,Pb,Br,Rb,Ge,Br,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
83,83,Cs,Pb,Br,Rb,Ge,F,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
84,84,Cs,Pb,Br,Rb,Pb,Br,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
85,85,Cs,Pb,Br,Rb,Pb,Cl,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,17.0,18.0,3.0,0.479,0.00321,181.0,12.9676,35.453,172.31
86,86,Cs,Pb,Br,Rb,Pb,F,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
87,87,Cs,Pb,Br,Rb,Pb,I,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,53.0,74.0,5.0,0.214,4.93,220.0,10.4513,126.904,386.65
88,88,Cs,Pb,Br,Rb,Sn,Br,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
89,89,Cs,Pb,Br,Rb,Sn,Cl,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,17.0,18.0,3.0,0.479,0.00321,181.0,12.9676,35.453,172.31
90,90,Cs,Pb,Br,Rb,Sn,F,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
91,91,Cs,Pb,Br,Rb,Sn,I,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,53.0,74.0,5.0,0.214,4.93,220.0,10.4513,126.904,386.65
92,92,Cs,Pb,Cl,Cs,Pb,Br,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,17.0,18.0,3.0,0.479,0.00321,181.0,12.9676,35.453,172.31,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
93,93,Cs,Pb,Cl,Cs,Pb,F,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,17.0,18.0,3.0,0.479,0.00321,181.0,12.9676,35.453,172.31,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
94,94,Cs,Pb,Cl,Cs,Pb,I,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,17.0,18.0,3.0,0.479,0.00321,181.0,12.9676,35.453,172.31,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,53.0,74.0,5.0,0.214,4.93,220.0,10.4513,126.904,386.65
95,95,Cs,Pb,Cl,Cs,Sn,Br,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,17.0,18.0,3.0,0.479,0.00321,181.0,12.9676,35.453,172.31,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
96,96,Cs,Pb,Cl,Cs,Sn,F,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,17.0,18.0,3.0,0.479,0.00321,181.0,12.9676,35.453,172.31,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
97,97,Cs,Pb,Cl,Rb,Pb,Br,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,17.0,18.0,3.0,0.479,0.00321,181.0,12.9676,35.453,172.31,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
98,98,Cs,Pb,Cl,Rb,Pb,F,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,17.0,18.0,3.0,0.479,0.00321,181.0,12.9676,35.453,172.31,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
99,99,Cs,Pb,Cl,Rb,Sn,Br,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,17.0,18.0,3.0,0.479,0.00321,181.0,12.9676,35.453,172.31,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
100,100,Cs,Pb,Cl,Rb,Sn,F,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,17.0,18.0,3.0,0.479,0.00321,181.0,12.9676,35.453,172.31,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
101,101,Cs,Pb,F,Cs,Pb,Br,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
102,102,Cs,Pb,F,Cs,Pb,F,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
103,103,Cs,Pb,F,Cs,Pb,I,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,53.0,74.0,5.0,0.214,4.93,220.0,10.4513,126.904,386.65
104,104,Cs,Pb,F,Cs,Sn,Br,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
