CsPbBr-RbSnI.outmol:conduction band edge:    -0.08991 Ha     -2.447 eV
CsPbCl-CsPbBr.outmol:conduction band edge:    -0.08909 Ha     -2.424 eV
CsPbCl-CsPbF.outmol:conduction band edge:    -0.09566 Ha     -2.603 eV
CsPbCl-CsPbI.outmol:conduction band edge:    -0.09004 Ha     -2.450 eV
CsPbCl-CsSnBr.outmol:conduction band edge:    -0.08807 Ha     -2.396 eV
CsPbCl-CsSnF.outmol:conduction band edge:    -0.09441 Ha     -2.569 eV
CsPbCl-RbPbBr.outmol:conduction band edge:    -0.08933 Ha     -2.431 eV
CsPbCl-RbPbF.outmol:conduction band edge:    -0.09976 Ha     -2.714 eV
CsPbCl-RbSnBr.outmol:conduction band edge:    -0.08834 Ha     -2.404 eV
CsPbCl-RbSnF.outmol:conduction band edge:    -0.09562 Ha     -2.602 eV
CsPbF-CsPbBr.outmol:conduction band edge:    -0.08740 Ha     -2.378 eV
CsPbF-CsPbF.outmol:conduction band edge:    -0.09347 Ha     -2.543 eV
CsPbF-CsPbI.outmol:conduction band edge:    -0.08775 Ha     -2.388 eV
CsPbF-CsSnBr.outmol:conduction band edge:    -0.08221 Ha     -2.237 eV
CsPbF-CsSnF.outmol:conduction band edge:    -0.08871 Ha     -2.414 eV
CsPbF-RbPbBr.outmol:conduction band edge:    -0.09019 Ha     -2.454 eV
CsPbF-RbPbF.outmol:conduction band edge:    -0.09433 Ha     -2.567 eV
CsPbF-RbSnBr.outmol:conduction band edge:    -0.08438 Ha     -2.296 eV
CsPbF-RbSnF.outmol:conduction band edge:    -0.09062 Ha     -2.466 eV
CsPbI-CsPbBr.outmol:conduction band edge:    -0.09508 Ha     -2.587 eV
CsPbI-CsPbF.outmol:conduction band edge:    -0.09898 Ha     -2.693 eV
CsPbI-CsPbI.outmol:conduction band edge:    -0.09360 Ha     -2.547 eV
CsPbI-CsSnBr.outmol:conduction band edge:    -0.09513 Ha     -2.589 eV
CsPbI-CsSnF.outmol:conduction band edge:    -0.09788 Ha     -2.663 eV
CsPbI-RbPbBr.outmol:conduction band edge:    -0.09491 Ha     -2.583 eV
CsPbI-RbPbF.outmol:conduction band edge:    -0.09970 Ha     -2.713 eV
CsPbI-RbSnBr.outmol:conduction band edge:    -0.09482 Ha     -2.580 eV
CsPbI-RbSnF.outmol:conduction band edge:    -0.09864 Ha     -2.684 eV
CsSnBr-CsPbBr.outmol:conduction band edge:    -0.08989 Ha     -2.446 eV
CsSnBr-CsPbF.outmol:conduction band edge:    -0.09462 Ha     -2.575 eV
CsSnBr-CsPbI.outmol:conduction band edge:    -0.08814 Ha     -2.398 eV
CsSnBr-CsSnBr.outmol:conduction band edge:    -0.09076 Ha     -2.470 eV
CsSnBr-CsSnF.outmol:conduction band edge:    -0.09252 Ha     -2.517 eV
CsSnBr-RbPbBr.outmol:conduction band edge:    -0.09283 Ha     -2.526 eV
CsSnBr-RbPbF.outmol:conduction band edge:    -0.09576 Ha     -2.606 eV
CsSnBr-RbSnBr.outmol:conduction band edge:    -0.09111 Ha     -2.479 eV
CsSnBr-RbSnF.outmol:conduction band edge:    -0.10287 Ha     -2.799 eV
KGeBr-CsPbBr.outmol:conduction band edge:    -0.08890 Ha     -2.419 eV
KGeBr-CsPbF.outmol:conduction band edge:    -0.09394 Ha     -2.556 eV
KGeBr-CsPbI.outmol:conduction band edge:    -0.09082 Ha     -2.471 eV
KGeBr-CsSnBr.outmol:conduction band edge:    -0.08997 Ha     -2.448 eV
KGeBr-CsSnF.outmol:conduction band edge:    -0.09221 Ha     -2.509 eV
KGeBr-RbPbBr.outmol:conduction band edge:    -0.08887 Ha     -2.418 eV
KGeBr-RbPbF.outmol:conduction band edge:    -0.10579 Ha     -2.879 eV
KGeBr-RbSnBr.outmol:conduction band edge:    -0.09008 Ha     -2.451 eV
